case,dataset,fault,status,truth,stage,arm,answer,correct,rank_of_truth,reason_for_answer,reason_for_truth,role_of_truth,retention_kept,retention_missed,retention_score,prompt_tokens,eval_tokens,wall_s,gpu_free_before_MB,parse_error,model,thinking,num_ctx
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,python:strength+py2:naive,adservice,True,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,python:strength+py2:rule,adservice,True,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,adservice,True,1,"Significant changes in CPU, memory, and latency suggest a potential root cause.","Significant changes in CPU, memory, and latency suggest a potential root cause.",unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,adservice,True,1,"Significant changes in CPU, memory, and latency suggest a potential root cause.","Significant changes in CPU, memory, and latency suggest a potential root cause.",unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,adservice,True,1,"Shows massive simultaneous increases in CPU, memory, and latency.","Shows massive simultaneous increases in CPU, memory, and latency.",unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,adservice,True,1,"Shows massive simultaneous increases in CPU, memory, and latency.","Shows massive simultaneous increases in CPU, memory, and latency.",unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,python:strength+py2:naive,checkoutservice,True,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,python:strength+py2:rule,checkoutservice,True,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,recommendationservice,False,2,High volume of new log entries and rare events suggest potential service overload or misconfiguration.,"Significant increases in CPU, memory, disk I/O, and socket connections indicate potential service issues.",victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,recommendationservice,False,2,High volume of new log entries and rare events suggest potential service overload or misconfiguration.,"Significant increases in CPU, memory, disk I/O, and socket connections indicate potential service issues.",victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,checkoutservice,True,1,"Exhibits massive step changes in CPU, memory, disk, and sockets.","Exhibits massive step changes in CPU, memory, disk, and sockets.",victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,checkoutservice,True,1,"Exhibits massive step changes in CPU, memory, disk, and sockets.","Exhibits massive step changes in CPU, memory, disk, and sockets.",victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,python:strength+py2:naive,ts-order-service,True,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),victim,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,python:strength+py2:rule,ts-order-service,True,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),victim,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,ts-order-service,True,1,High CPU and latency indicate potential performance issues.,High CPU and latency indicate potential performance issues.,origin,,ts-order-service metric shift (ts-order-service_cpu),0/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,ts-order-service,True,1,High CPU and latency indicate potential performance issues.,High CPU and latency indicate potential performance issues.,origin,,ts-order-service metric shift (ts-order-service_cpu),0/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,ts-order-service,True,1,Shows massive CPU increase and rising latency.,Shows massive CPU increase and rising latency.,origin,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,ts-order-service,True,1,Shows massive CPU increase and rising latency.,Shows massive CPU increase and rising latency.,origin,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,python:strength+py2:naive,ts-security-service,False,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),victim,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,python:strength+py2:rule,ts-security-service,False,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),victim,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,ts-inside-payment-service,False,3,High latency and step changes in error rate suggest a potential performance bottleneck.,Step changes in error rate suggest a sudden increase in load or resource contention.,origin,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,ts-inside-payment-service,False,3,High latency and step changes in error rate suggest a potential performance bottleneck.,Step changes in error rate suggest a sudden increase in load or resource contention.,origin,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,ts-order-service,True,1,Experiencing massive latency spikes and new log patterns.,Experiencing massive latency spikes and new log patterns.,origin,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,ts-order-service,True,1,Experiencing massive latency spikes and new log patterns.,Experiencing massive latency spikes and new log patterns.,origin,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,python:strength+py2:naive,recommendationservice,False,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),unknown,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,python:strength+py2:rule,recommendationservice,False,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),unknown,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,recommendationservice,False,2,High 90th percentile latency and workload drop suggest a potential performance issue.,Substantial latency increase and workload drop indicate a potential bottleneck.,unknown,,cartservice metric shift (cartservice_latency-90),0/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,recommendationservice,False,2,High 90th percentile latency and workload drop suggest a potential performance issue.,Substantial latency increase and workload drop indicate a potential bottleneck.,unknown,,cartservice metric shift (cartservice_latency-90),0/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,recommendationservice,False,2,"Shows a clear, significant step change in high-percentile latency.",Shows an extreme increase in 90th percentile latency.,unknown,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,recommendationservice,False,2,"Shows a clear, significant step change in high-percentile latency.",Shows an extreme increase in 90th percentile latency.,unknown,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,python:strength+py2:naive,carts,True,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",victim,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,python:strength+py2:rule,carts,True,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",victim,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,orders,False,2,"High workload and error rate, likely causing cascading issues.","Socket error rate increased, indicating potential issues.",origin,,carts log volume quiet (carts log volume); carts metric shift (carts_socket),0/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,orders,False,2,"High workload and error rate, likely causing cascading issues.","Socket error rate increased, indicating potential issues.",origin,,carts log volume quiet (carts log volume); carts metric shift (carts_socket),0/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,orders-db,False,3,Shows a clear step change down in socket metric.,Experiencing connection exceptions and log quiet periods.,victim,carts log volume quiet (carts log volume),carts metric shift (carts_socket),1/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,orders-db,False,3,Shows a clear step change down in socket metric.,Experiencing connection exceptions and log quiet periods.,victim,carts log volume quiet (carts log volume),carts metric shift (carts_socket),1/2,,,,,,,,
